number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_n,room_type_n,dist_to_center,price
4.0,1.0,0.0,1.0,1.0,1.8301163813147832,210
0.0,1.0,0.0,19.0,1.0,3.3239026583502254,200
34.0,1.0,93.0,63.0,0.0,13.522931522906713,70
17.0,1.0,64.0,18.0,1.0,13.07461969094876,90
25.0,11.0,330.0,28.0,1.0,2.0840820982929946,140
2.0,1.0,0.0,20.0,0.0,3.971729748985762,60
41.0,2.0,342.0,150.0,1.0,12.032292280744938,125
14.0,6.0,121.0,37.0,0.0,12.962174265913108,49
1.0,1.0,0.0,75.0,1.0,15.669067872172873,125
0.0,3.0,0.0,21.0,0.0,7.853299504237513,45
186.0,4.0,199.0,4.0,0.0,5.21101608012339,65
0.0,1.0,0.0,12.0,0.0,5.446851670909677,65
10.0,1.0,0.0,117.0,0.0,16.330819039392672,50
0.0,1.0,0.0,19.0,0.0,3.6146675393953727,49
4.0,1.0,0.0,45.0,1.0,6.690091142368398,120
3.0,1.0,365.0,19.0,0.0,4.0550656745511455,125
2.0,3.0,0.0,2.0,1.0,6.7107215196862855,150
32.0,2.0,141.0,12.0,1.0,5.565512571249068,200
0.0,1.0,0.0,5.0,1.0,1.7078842097452211,144
2.0,1.0,0.0,29.0,1.0,9.203604276548532,135
80.0,1.0,350.0,49.0,0.0,6.669830978078091,90
0.0,2.0,45.0,6.0,1.0,9.43748702372581,120
17.0,1.0,3.0,12.0,1.0,6.257778698057021,160
0.0,232.0,330.0,19.0,1.0,3.9204663932244452,314
53.0,1.0,8.0,15.0,0.0,10.446293478599785,54
0.0,2.0,311.0,22.0,0.0,12.919299458892164,50
1.0,1.0,266.0,25.0,1.0,4.5980576169005225,275
33.0,1.0,19.0,2.0,0.0,6.1913773147540105,68
23.0,2.0,364.0,54.0,2.0,11.66732125262561,50
4.0,1.0,0.0,6.0,1.0,9.357656921004184,125
19.0,1.0,198.0,21.0,0.0,8.45630207601546,75
0.0,3.0,330.0,117.0,0.0,15.01539456756635,100
18.0,1.0,0.0,8.0,1.0,4.997905435979832,130
4.0,1.0,0.0,47.0,1.0,10.741091751682976,100
1.0,1.0,125.0,13.0,1.0,7.686643387973707,270
6.0,1.0,0.0,6.0,0.0,8.35716151105601,48
123.0,3.0,59.0,64.0,0.0,4.181745797038451,130
0.0,1.0,0.0,12.0,1.0,6.7190109347493525,200
2.0,1.0,249.0,12.0,0.0,5.245866201819967,43
0.0,1.0,83.0,59.0,0.0,13.744528241789775,60
34.0,2.0,340.0,6.0,1.0,8.665905553978419,130
11.0,1.0,0.0,11.0,1.0,2.799977785211735,275
22.0,1.0,130.0,95.0,1.0,14.726560156097104,79
22.0,2.0,236.0,6.0,0.0,10.521128216132565,48
38.0,3.0,302.0,2.0,1.0,6.1491776654469925,450
4.0,1.0,108.0,7.0,1.0,0.9353832680160236,639
9.0,1.0,0.0,30.0,0.0,11.623044125472877,40
4.0,1.0,71.0,21.0,0.0,7.91513948620665,51
5.0,1.0,281.0,79.0,0.0,13.564225323258773,52
6.0,2.0,323.0,15.0,0.0,11.209440460054244,65
0.0,65.0,326.0,11.0,1.0,2.9708542904873445,188
3.0,1.0,0.0,3.0,0.0,7.267155620771006,120
35.0,5.0,235.0,63.0,0.0,13.004534079371716,58
1.0,2.0,0.0,16.0,0.0,10.247699294781281,60
30.0,3.0,3.0,7.0,0.0,0.8500532602498101,115
0.0,1.0,43.0,101.0,1.0,6.030594453172259,199
4.0,1.0,0.0,22.0,1.0,12.193988123503308,290
2.0,121.0,365.0,7.0,1.0,1.102811645106501,275
4.0,1.0,341.0,73.0,0.0,19.444679590119247,60
1.0,7.0,350.0,111.0,0.0,13.682873166283882,60
57.0,2.0,295.0,31.0,0.0,8.103808904096462,50
5.0,1.0,0.0,4.0,0.0,5.285197334606787,75
15.0,1.0,16.0,12.0,1.0,6.187572507015512,82
144.0,2.0,134.0,62.0,1.0,23.71377682743421,150
